scrape_datetime,Startinterval,Endinterval,Stufe,Anlagen
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr","23.04.2025, 09:45 Uhr",0,C1098902996
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr",,60,C1001232900
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr",,0,C1001238742
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr",,0,C1001208703
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr","23.04.2025, 09:00 Uhr",0,C1001245789
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr",,0,C1001220343
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr",,0,C1001246216
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr",,60,C1001215592
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001233651
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001216962
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001231647
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001202424
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001202870
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001203373
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001203597
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001208167
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001208787
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001209660
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001212324
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001212613
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001213033
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001214205
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001217663
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001219825
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001220814
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001221101
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001221987
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001224288
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001225369
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001227464
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001237231
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001237322
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001237851
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1098681673
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1098808003
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001228777
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001242470
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001249369
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr","23.04.2025, 09:45 Uhr",0,C1001227464
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001231382
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001222612
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001211045
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001244559
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001242199
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr","23.04.2025, 09:45 Uhr",0,C1001239005
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001245789
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001243626
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr","23.04.2025, 09:45 Uhr",0,C1001244781
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001204579
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001240466
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001242545
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001245383
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001202193
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001244038
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001247529
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001246290
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001245888
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001248874
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001247959
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001215592
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001247339
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001247842
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1098774733
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1098820122
